"name","time","duration"
"Krok 1","2017-09-02T15:22:41.411Z",889
"Krok 1","2017-09-02T15:22:42.995Z",1042
"Krok 1","2017-09-02T15:22:44.794Z",1380
"Krok 1","2017-09-02T15:22:46.755Z",855
"Krok 1","2017-09-02T15:22:48.102Z",1193
"Krok 1","2017-09-02T15:22:49.853Z",859
"Krok 1","2017-09-02T15:22:51.487Z",1185
"Krok 1","2017-09-02T15:22:53.162Z",846
"Krok 1","2017-09-02T15:22:54.66Z",858
"Krok 1","2017-09-02T15:22:56.091Z",1016
"Krok 1","2017-09-02T15:22:57.691Z",1016
"Krok 1","2017-09-02T15:22:59.3Z",905
"Krok 1","2017-09-02T15:23:00.773Z",1100
"Krok 1","2017-09-02T15:23:02.487Z",1161
"Krok 1","2017-09-02T15:23:04.131Z",1039
"Krok 1","2017-09-02T15:23:06.016Z",1127
"Krok 1","2017-09-02T15:23:07.818Z",993
"Krok 1","2017-09-02T15:23:09.418Z",1085
"Krok 1","2017-09-02T15:23:11.11Z",673
"Krok 1","2017-09-02T15:23:12.341Z",884
"Krok 1","2017-09-02T15:23:14.04Z",1154
"Krok 1","2017-09-02T15:23:15.664Z",1010
"Krok 1","2017-09-02T15:23:17.317Z",885
"Krok 1","2017-09-02T15:23:18.771Z",678
"Krok 1","2017-09-02T15:23:20.019Z",721
"Krok 1","2017-09-02T15:23:21.365Z",1673
"Krok 1","2017-09-02T15:23:23.626Z",552
"Krok 1","2017-09-02T15:23:24.783Z",572
"Krok 1","2017-09-02T15:23:25.987Z",1137
"Krok 1","2017-09-02T15:23:27.719Z",1015
"Krok 1","2017-09-02T15:23:29.303Z",972
"Krok 1","2017-09-02T15:23:30.869Z",933
"Krok 1","2017-09-02T15:23:32.427Z",788
"Krok 1","2017-09-02T15:23:33.74Z",987
"Krok 1","2017-09-02T15:23:35.311Z",933
"Krok 1","2017-09-02T15:23:37.036Z",1017
"Krok 1","2017-09-02T15:23:38.6Z",959
"Krok 1","2017-09-02T15:23:40.135Z",1099
"Krok 1","2017-09-02T15:23:41.949Z",1132
"Krok 1","2017-09-02T15:23:43.674Z",1028
"Krok 1","2017-09-02T15:23:45.331Z",891
"Krok 1","2017-09-02T15:23:46.782Z",849
"Krok 1","2017-09-02T15:23:48.402Z",1077
"Krok 1","2017-09-02T15:23:49.951Z",934
"Krok 1","2017-09-02T15:23:51.541Z",942
"Krok 1","2017-09-02T15:23:53.251Z",852
"Krok 1","2017-09-02T15:23:54.851Z",902
"Krok 1","2017-09-02T15:23:56.353Z",1060
"Krok 1","2017-09-02T15:23:57.993Z",638
"Krok 1","2017-09-02T15:23:59.845Z",575
"Krok 1","2017-09-02T15:24:00.97Z",1151
"Krok 1","2017-09-02T15:24:02.661Z",535
"Krok 1","2017-09-02T15:24:03.677Z",809
"Krok 1","2017-09-02T15:24:05.086Z",843
"Krok 1","2017-09-02T15:24:06.511Z",1823
"Krok 1","2017-09-02T15:24:08.903Z",808
"Krok 1","2017-09-02T15:24:10.318Z",1274
"Krok 1","2017-09-02T15:24:12.151Z",933
"Krok 1","2017-09-02T15:24:13.721Z",1097
"Krok 1","2017-09-02T15:24:15.519Z",979
"Krok 1","2017-09-02T15:24:17.088Z",859
"Krok 1","2017-09-02T15:24:18.598Z",821
"Krok 1","2017-09-02T15:24:20.007Z",1008
"Krok 1","2017-09-02T15:24:21.59Z",730
"Krok 1","2017-09-02T15:24:22.857Z",1055
"Krok 1","2017-09-02T15:24:24.489Z",962
"Krok 1","2017-09-02T15:24:26.026Z",1731
"Krok 1","2017-09-02T15:24:28.6Z",904
"Krok 1","2017-09-02T15:24:30.091Z",1178
"Krok 1","2017-09-02T15:24:31.965Z",918
"Krok 1","2017-09-02T15:24:33.571Z",1039
"Krok 1","2017-09-02T15:24:35.22Z",1090
"Krok 1","2017-09-02T15:24:36.898Z",778
"Krok 1","2017-09-02T15:24:38.482Z",935
"Krok 1","2017-09-02T15:24:40.018Z",696
"Krok 1","2017-09-02T15:24:41.591Z",1168
"Krok 1","2017-09-02T15:24:43.371Z",2083
"Krok 1","2017-09-02T15:24:46.098Z",830
"Krok 1","2017-09-02T15:24:47.696Z",627
"Krok 1","2017-09-02T15:24:48.856Z",1021
"Krok 1","2017-09-02T15:24:50.41Z",1096
