name,time,duration
Krok 1,2017-08-10T18:21:30.186Z,4458
Krok 1,2017-08-10T18:21:35.283Z,5342
Krok 1,2017-08-10T18:21:41.269Z,3614
Krok 1,2017-08-10T18:21:45.598Z,4283
Krok 1,2017-08-10T18:21:50.507Z,4823
Krok 1,2017-08-10T18:21:56.001Z,4563
Krok 1,2017-08-10T18:22:01.353Z,4515
Krok 1,2017-08-10T18:22:06.508Z,3955
Krok 1,2017-08-10T18:22:11.082Z,4853
Krok 1,2017-08-10T18:22:16.658Z,3206
Krok 1,2017-08-10T18:22:20.502Z,4232
Krok 1,2017-08-10T18:22:25.39Z,3480
Krok 1,2017-08-10T18:22:29.499Z,2787
Krok 1,2017-08-10T18:22:32.926Z,2786
Krok 1,2017-08-10T18:22:36.366Z,4694
Krok 1,2017-08-10T18:22:41.925Z,3621
Krok 1,2017-08-10T18:22:46.152Z,6079
Krok 1,2017-08-10T18:22:52.858Z,3415
Krok 1,2017-08-10T18:22:56.937Z,2910
Krok 1,2017-08-10T18:23:00.475Z,5144
Krok 1,2017-08-10T18:23:06.203Z,5219
Krok 1,2017-08-10T18:23:12.044Z,3592
Krok 1,2017-08-10T18:23:16.217Z,4408
Krok 1,2017-08-10T18:23:21.363Z,5728
Krok 1,2017-08-10T18:23:27.793Z,4651
Krok 1,2017-08-10T18:23:33.102Z,8487
Krok 1,2017-08-10T18:23:42.117Z,6609
Krok 1,2017-08-10T18:23:49.289Z,4072
Krok 1,2017-08-10T18:23:54.006Z,3880
Krok 1,2017-08-10T18:23:58.429Z,3579
Krok 1,2017-08-10T18:24:02.662Z,4155
Krok 1,2017-08-10T18:24:07.382Z,3938
Krok 1,2017-08-10T18:24:11.966Z,3277
Krok 1,2017-08-10T18:24:15.838Z,4786
Krok 1,2017-08-10T18:24:21.253Z,4935
Krok 1,2017-08-10T18:24:26.814Z,2915
Krok 1,2017-08-10T18:24:30.361Z,3908
Krok 1,2017-08-10T18:24:34.939Z,4111
Krok 1,2017-08-10T18:24:39.67Z,7613
