name,time,p50,p75,p95,p99
matrix_multiplication_aws,2017-08-05T11:06:38Z,19,19,27,27
matrix_multiplication_aws,2017-08-05T11:06:39Z,21,22,50,51
matrix_multiplication_aws,2017-08-05T11:06:40Z,21,21,22,23
matrix_multiplication_aws,2017-08-05T11:06:41Z,22,25,39,39
matrix_multiplication_aws,2017-08-05T11:06:42Z,22,24,25,30
matrix_multiplication_aws,2017-08-05T11:06:43Z,20,23,29,29
matrix_multiplication_aws,2017-08-05T11:06:44Z,23,25,26,29
matrix_multiplication_aws,2017-08-05T11:06:45Z,22,25,29,33
matrix_multiplication_aws,2017-08-05T11:06:46Z,21,22,25,29
matrix_multiplication_aws,2017-08-05T11:06:47Z,21,22,22,25
matrix_multiplication_aws,2017-08-05T11:06:48Z,22,22,26,30
matrix_multiplication_aws,2017-08-05T11:06:49Z,21,24,25,28
matrix_multiplication_aws,2017-08-05T11:06:50Z,22,23,31,34
matrix_multiplication_aws,2017-08-05T11:06:51Z,25,29,38,41
matrix_multiplication_aws,2017-08-05T11:06:52Z,21,22,27,30
matrix_multiplication_aws,2017-08-05T11:06:53Z,21,25,30,38
matrix_multiplication_aws,2017-08-05T11:06:54Z,22,25,26,30
matrix_multiplication_aws,2017-08-05T11:06:55Z,24,25,27,28
matrix_multiplication_aws,2017-08-05T11:06:56Z,22,24,32,36
matrix_multiplication_aws,2017-08-05T11:06:57Z,22,24,30,34
matrix_multiplication_aws,2017-08-05T11:06:58Z,22,25,34,37
matrix_multiplication_aws,2017-08-05T11:06:59Z,22,26,28,33
matrix_multiplication_aws,2017-08-05T11:07:00Z,22,30,33,43
matrix_multiplication_aws,2017-08-05T11:07:01Z,21,24,30,32
matrix_multiplication_aws,2017-08-05T11:07:02Z,21,23,25,30
matrix_multiplication_aws,2017-08-05T11:07:03Z,22,25,26,49
matrix_multiplication_aws,2017-08-05T11:07:04Z,20,21,30,31
matrix_multiplication_aws,2017-08-05T11:07:05Z,23,24,29,30
matrix_multiplication_aws,2017-08-05T11:07:06Z,21,22,25,28
matrix_multiplication_aws,2017-08-05T11:07:07Z,22,25,26,33
matrix_multiplication_aws,2017-08-05T11:07:08Z,22,38,46,46
matrix_multiplication_aws,2017-08-05T11:07:09Z,25,38,43,44
matrix_multiplication_aws,2017-08-05T11:07:10Z,29,35,38,42
matrix_multiplication_aws,2017-08-05T11:07:11Z,34,42,59,60
matrix_multiplication_aws,2017-08-05T11:07:12Z,28,35,39,42
matrix_multiplication_aws,2017-08-05T11:07:13Z,30,35,42,43
matrix_multiplication_aws,2017-08-05T11:07:14Z,27,39,52,56
matrix_multiplication_aws,2017-08-05T11:07:15Z,34,35,40,40
matrix_multiplication_aws,2017-08-05T11:07:16Z,38,40,43,44
matrix_multiplication_aws,2017-08-05T11:07:17Z,38,39,44,57
matrix_multiplication_aws,2017-08-05T11:07:18Z,23,25,41,48
matrix_multiplication_aws,2017-08-05T11:07:19Z,22,26,39,40
matrix_multiplication_aws,2017-08-05T11:07:20Z,35,36,43,47
matrix_multiplication_aws,2017-08-05T11:07:21Z,31,35,38,39
matrix_multiplication_aws,2017-08-05T11:07:22Z,38,40,42,43
matrix_multiplication_aws,2017-08-05T11:07:23Z,34,41,56,60
matrix_multiplication_aws,2017-08-05T11:07:24Z,30,39,49,58
matrix_multiplication_aws,2017-08-05T11:07:25Z,31,36,51,58
matrix_multiplication_aws,2017-08-05T11:07:26Z,34,44,55,58
matrix_multiplication_aws,2017-08-05T11:07:27Z,36,40,61,70
matrix_multiplication_aws,2017-08-05T11:07:28Z,39,43,58,65
matrix_multiplication_aws,2017-08-05T11:07:29Z,38,40,43,44
matrix_multiplication_aws,2017-08-05T11:07:30Z,39,60,64,71
matrix_multiplication_aws,2017-08-05T11:07:31Z,38,40,48,49
matrix_multiplication_aws,2017-08-05T11:07:32Z,35,38,40,43
matrix_multiplication_aws,2017-08-05T11:07:33Z,39,49,60,62
matrix_multiplication_aws,2017-08-05T11:07:34Z,38,40,65,69
matrix_multiplication_aws,2017-08-05T11:07:35Z,38,43,62,66
matrix_multiplication_aws,2017-08-05T11:07:36Z,40,67,73,74
matrix_multiplication_aws,2017-08-05T11:07:37Z,40,65,78,81
matrix_multiplication_aws,2017-08-05T11:07:38Z,38,41,48,49
matrix_multiplication_aws,2017-08-05T11:07:39Z,36,43,49,55
matrix_multiplication_aws,2017-08-05T11:07:40Z,35,38,51,57
matrix_multiplication_aws,2017-08-05T11:07:41Z,36,43,61,68
matrix_multiplication_aws,2017-08-05T11:07:42Z,39,44,60,67
matrix_multiplication_aws,2017-08-05T11:07:43Z,35,44,74,76
matrix_multiplication_aws,2017-08-05T11:07:44Z,35,39,73,74
matrix_multiplication_aws,2017-08-05T11:07:45Z,29,36,68,76
matrix_multiplication_aws,2017-08-05T11:07:46Z,24,34,38,39
matrix_multiplication_aws,2017-08-05T11:07:47Z,36,48,73,76
matrix_multiplication_aws,2017-08-05T11:07:48Z,33,38,39,43
matrix_multiplication_aws,2017-08-05T11:07:49Z,34,36,57,57
matrix_multiplication_aws,2017-08-05T11:07:50Z,35,45,56,67
matrix_multiplication_aws,2017-08-05T11:07:51Z,37,39,65,70
matrix_multiplication_aws,2017-08-05T11:07:52Z,34,39,60,67
matrix_multiplication_aws,2017-08-05T11:07:53Z,35,40,46,47
matrix_multiplication_aws,2017-08-05T11:07:54Z,35,36,38,40
matrix_multiplication_aws,2017-08-05T11:07:55Z,35,39,39,43
matrix_multiplication_aws,2017-08-05T11:07:56Z,35,38,51,84
matrix_multiplication_aws,2017-08-05T11:07:57Z,34,39,43,44
matrix_multiplication_aws,2017-08-05T11:07:58Z,36,43,62,63
matrix_multiplication_aws,2017-08-05T11:07:59Z,34,38,76,77
matrix_multiplication_aws,2017-08-05T11:08:00Z,34,38,43,43
matrix_multiplication_aws,2017-08-05T11:08:01Z,34,38,44,47
matrix_multiplication_aws,2017-08-05T11:08:02Z,34,40,44,44
matrix_multiplication_aws,2017-08-05T11:08:03Z,34,35,40,78
matrix_multiplication_aws,2017-08-05T11:08:04Z,34,36,40,42
matrix_multiplication_aws,2017-08-05T11:08:05Z,36,42,57,73
matrix_multiplication_aws,2017-08-05T11:08:06Z,35,39,40,43
matrix_multiplication_aws,2017-08-05T11:08:07Z,34,38,42,47
matrix_multiplication_aws,2017-08-05T11:08:08Z,35,47,64,66
matrix_multiplication_aws,2017-08-05T11:08:09Z,34,36,42,44
matrix_multiplication_aws,2017-08-05T11:08:10Z,43,68,76,80
matrix_multiplication_aws,2017-08-05T11:08:11Z,38,43,69,70
matrix_multiplication_aws,2017-08-05T11:08:12Z,39,44,73,75
matrix_multiplication_aws,2017-08-05T11:08:13Z,36,39,54,68
matrix_multiplication_aws,2017-08-05T11:08:14Z,35,39,55,71
matrix_multiplication_aws,2017-08-05T11:08:15Z,34,38,40,46
matrix_multiplication_aws,2017-08-05T11:08:16Z,35,40,66,74
matrix_multiplication_aws,2017-08-05T11:08:17Z,38,40,57,63
matrix_multiplication_aws,2017-08-05T11:08:18Z,38,48,70,71
matrix_multiplication_aws,2017-08-05T11:08:19Z,37,40,69,74
matrix_multiplication_aws,2017-08-05T11:08:20Z,34,39,44,46
matrix_multiplication_aws,2017-08-05T11:08:21Z,35,40,50,56
matrix_multiplication_aws,2017-08-05T11:08:22Z,34,40,47,50
matrix_multiplication_aws,2017-08-05T11:08:23Z,42,68,73,73
matrix_multiplication_aws,2017-08-05T11:08:24Z,39,41,72,72
matrix_multiplication_aws,2017-08-05T11:08:25Z,38,58,73,73
matrix_multiplication_aws,2017-08-05T11:08:26Z,36,40,69,75
matrix_multiplication_aws,2017-08-05T11:08:27Z,43,51,56,74
matrix_multiplication_aws,2017-08-05T11:08:28Z,39,46,77,82
matrix_multiplication_aws,2017-08-05T11:08:29Z,36,43,55,69
matrix_multiplication_aws,2017-08-05T11:08:30Z,36,38,68,81
matrix_multiplication_aws,2017-08-05T11:08:31Z,38,44,63,69
matrix_multiplication_aws,2017-08-05T11:08:32Z,37,39,73,73
matrix_multiplication_aws,2017-08-05T11:08:33Z,38,43,63,65
matrix_multiplication_aws,2017-08-05T11:08:34Z,39,40,54,66
matrix_multiplication_aws,2017-08-05T11:08:35Z,38,39,66,70
matrix_multiplication_aws,2017-08-05T11:08:36Z,35,39,74,78
matrix_multiplication_aws,2017-08-05T11:08:37Z,39,41,58,71
matrix_multiplication_aws,2017-08-05T11:08:38Z,40,52,72,73
matrix_multiplication_aws,2017-08-05T11:08:39Z,40,46,67,70
matrix_multiplication_aws,2017-08-05T11:08:40Z,40,47,71,78
matrix_multiplication_aws,2017-08-05T11:08:41Z,38,42,62,74
matrix_multiplication_aws,2017-08-05T11:08:42Z,39,44,72,75
matrix_multiplication_aws,2017-08-05T11:08:43Z,39,44,68,68
matrix_multiplication_aws,2017-08-05T11:08:44Z,37,42,77,80
matrix_multiplication_aws,2017-08-05T11:08:45Z,37,50,72,74
matrix_multiplication_aws,2017-08-05T11:08:46Z,35,38,43,47
matrix_multiplication_aws,2017-08-05T11:08:47Z,34,38,44,46
matrix_multiplication_aws,2017-08-05T11:08:48Z,34,39,42,43
matrix_multiplication_aws,2017-08-05T11:08:49Z,38,42,69,70
matrix_multiplication_aws,2017-08-05T11:08:50Z,34,39,59,60
matrix_multiplication_aws,2017-08-05T11:08:51Z,35,39,50,71
matrix_multiplication_aws,2017-08-05T11:08:52Z,34,38,49,52
matrix_multiplication_aws,2017-08-05T11:08:53Z,34,39,56,64
matrix_multiplication_aws,2017-08-05T11:08:54Z,38,43,46,47
matrix_multiplication_aws,2017-08-05T11:08:55Z,38,44,76,88
matrix_multiplication_aws,2017-08-05T11:08:56Z,34,38,49,53
matrix_multiplication_aws,2017-08-05T11:08:57Z,35,48,66,73
matrix_multiplication_aws,2017-08-05T11:08:58Z,38,47,70,71
matrix_multiplication_aws,2017-08-05T11:08:59Z,37,40,53,73
matrix_multiplication_aws,2017-08-05T11:09:00Z,34,39,73,74
matrix_multiplication_aws,2017-08-05T11:09:01Z,36,40,62,70
matrix_multiplication_aws,2017-08-05T11:09:02Z,36,42,73,75
matrix_multiplication_aws,2017-08-05T11:09:03Z,48,68,77,78
matrix_multiplication_aws,2017-08-05T11:09:04Z,36,50,73,74
matrix_multiplication_aws,2017-08-05T11:09:05Z,39,42,60,74
matrix_multiplication_aws,2017-08-05T11:09:06Z,38,48,71,72
matrix_multiplication_aws,2017-08-05T11:09:07Z,35,39,50,65
matrix_multiplication_aws,2017-08-05T11:09:08Z,34,38,66,69
matrix_multiplication_aws,2017-08-05T11:09:09Z,36,39,50,52
matrix_multiplication_aws,2017-08-05T11:09:10Z,35,40,74,76
matrix_multiplication_aws,2017-08-05T11:09:11Z,35,40,68,69
matrix_multiplication_aws,2017-08-05T11:09:12Z,38,44,58,68
matrix_multiplication_aws,2017-08-05T11:09:13Z,35,44,64,81
matrix_multiplication_aws,2017-08-05T11:09:14Z,35,48,59,77
matrix_multiplication_aws,2017-08-05T11:09:15Z,35,40,54,55
matrix_multiplication_aws,2017-08-05T11:09:16Z,38,52,71,79
matrix_multiplication_aws,2017-08-05T11:09:17Z,36,39,55,57
matrix_multiplication_aws,2017-08-05T11:09:18Z,35,39,48,62
matrix_multiplication_aws,2017-08-05T11:09:19Z,20,22,30,38
matrix_multiplication_aws,2017-08-05T11:09:20Z,20,33,38,40
matrix_multiplication_aws,2017-08-05T11:09:21Z,21,28,38,41
matrix_multiplication_aws,2017-08-05T11:09:22Z,21,32,38,42
matrix_multiplication_aws,2017-08-05T11:09:23Z,20,34,38,42
matrix_multiplication_aws,2017-08-05T11:09:24Z,36,48,75,78
matrix_multiplication_aws,2017-08-05T11:09:25Z,24,38,57,62
matrix_multiplication_aws,2017-08-05T11:09:26Z,21,24,39,41
matrix_multiplication_aws,2017-08-05T11:09:27Z,22,26,32,37
matrix_multiplication_aws,2017-08-05T11:09:28Z,23,34,39,43
matrix_multiplication_aws,2017-08-05T11:09:29Z,22,30,39,39
matrix_multiplication_aws,2017-08-05T11:09:30Z,25,33,39,43
matrix_multiplication_aws,2017-08-05T11:09:31Z,24,29,38,41
matrix_multiplication_aws,2017-08-05T11:09:32Z,20,34,38,45
matrix_multiplication_aws,2017-08-05T11:09:33Z,21,31,40,46
matrix_multiplication_aws,2017-08-05T11:09:34Z,24,24,37,42
matrix_multiplication_aws,2017-08-05T11:09:35Z,22,25,33,42
matrix_multiplication_aws,2017-08-05T11:09:36Z,23,26,31,42
matrix_multiplication_aws,2017-08-05T11:09:37Z,25,32,37,50
matrix_multiplication_aws,2017-08-05T11:09:38Z,21,24,29,29
matrix_multiplication_aws,2017-08-05T11:09:39Z,33,38,58,60
matrix_multiplication_aws,2017-08-05T11:09:40Z,27,36,42,42
matrix_multiplication_aws,2017-08-05T11:09:41Z,29,35,40,55
matrix_multiplication_aws,2017-08-05T11:09:42Z,23,34,36,38
matrix_multiplication_aws,2017-08-05T11:09:43Z,25,35,40,42
matrix_multiplication_aws,2017-08-05T11:09:44Z,30,36,40,41
matrix_multiplication_aws,2017-08-05T11:09:45Z,25,34,37,37
matrix_multiplication_aws,2017-08-05T11:09:46Z,24,33,38,39
matrix_multiplication_aws,2017-08-05T11:09:47Z,20,25,38,44
matrix_multiplication_aws,2017-08-05T11:09:48Z,21,26,30,38
matrix_multiplication_aws,2017-08-05T11:09:49Z,25,31,36,80
matrix_multiplication_aws,2017-08-05T11:09:50Z,28,34,39,42
matrix_multiplication_aws,2017-08-05T11:09:51Z,25,34,39,42
matrix_multiplication_aws,2017-08-05T11:09:52Z,22,25,34,38
matrix_multiplication_aws,2017-08-05T11:09:53Z,22,31,39,46
matrix_multiplication_aws,2017-08-05T11:09:54Z,24,31,42,45
matrix_multiplication_aws,2017-08-05T11:09:55Z,22,24,34,38
matrix_multiplication_aws,2017-08-05T11:09:56Z,22,28,34,42
matrix_multiplication_aws,2017-08-05T11:09:57Z,22,29,38,44
matrix_multiplication_aws,2017-08-05T11:09:58Z,24,34,44,47
matrix_multiplication_aws,2017-08-05T11:09:59Z,34,38,43,49
matrix_multiplication_aws,2017-08-05T11:10:00Z,25,34,38,44
matrix_multiplication_aws,2017-08-05T11:10:01Z,21,34,43,46
matrix_multiplication_aws,2017-08-05T11:10:02Z,25,36,42,48
matrix_multiplication_aws,2017-08-05T11:10:03Z,29,38,56,59
matrix_multiplication_aws,2017-08-05T11:10:04Z,28,35,42,55
matrix_multiplication_aws,2017-08-05T11:10:05Z,34,38,49,59
matrix_multiplication_aws,2017-08-05T11:10:06Z,34,38,46,48
matrix_multiplication_aws,2017-08-05T11:10:07Z,34,38,43,44
matrix_multiplication_aws,2017-08-05T11:10:08Z,34,38,44,54
matrix_multiplication_aws,2017-08-05T11:10:09Z,34,38,46,59
matrix_multiplication_aws,2017-08-05T11:10:10Z,33,41,58,77
matrix_multiplication_aws,2017-08-05T11:10:11Z,30,34,39,46
matrix_multiplication_aws,2017-08-05T11:10:12Z,34,38,46,57
matrix_multiplication_aws,2017-08-05T11:10:13Z,33,36,42,42
matrix_multiplication_aws,2017-08-05T11:10:14Z,34,41,47,58
matrix_multiplication_aws,2017-08-05T11:10:15Z,34,40,48,53
matrix_multiplication_aws,2017-08-05T11:10:16Z,33,36,42,46
matrix_multiplication_aws,2017-08-05T11:10:17Z,34,37,42,43
matrix_multiplication_aws,2017-08-05T11:10:18Z,33,35,44,51
matrix_multiplication_aws,2017-08-05T11:10:19Z,35,39,46,63
matrix_multiplication_aws,2017-08-05T11:10:20Z,34,40,50,56
matrix_multiplication_aws,2017-08-05T11:10:21Z,34,38,51,57
matrix_multiplication_aws,2017-08-05T11:10:22Z,36,39,55,60
matrix_multiplication_aws,2017-08-05T11:10:23Z,25,38,44,56
matrix_multiplication_aws,2017-08-05T11:10:24Z,25,34,40,42
matrix_multiplication_aws,2017-08-05T11:10:25Z,34,38,41,48
matrix_multiplication_aws,2017-08-05T11:10:26Z,34,36,48,61
matrix_multiplication_aws,2017-08-05T11:10:27Z,33,38,42,59
matrix_multiplication_aws,2017-08-05T11:10:28Z,35,39,44,62
matrix_multiplication_aws,2017-08-05T11:10:29Z,34,37,43,56
matrix_multiplication_aws,2017-08-05T11:10:30Z,34,36,40,48
matrix_multiplication_aws,2017-08-05T11:10:31Z,34,35,39,44
matrix_multiplication_aws,2017-08-05T11:10:32Z,37,41,61,70
matrix_multiplication_aws,2017-08-05T11:10:33Z,34,40,59,69
matrix_multiplication_aws,2017-08-05T11:10:34Z,34,39,51,58
matrix_multiplication_aws,2017-08-05T11:10:35Z,34,40,55,72
matrix_multiplication_aws,2017-08-05T11:10:36Z,34,43,55,61
matrix_multiplication_aws,2017-08-05T11:10:37Z,34,40,55,61
matrix_multiplication_aws,2017-08-05T11:10:38Z,33,38,46,54
matrix_multiplication_aws,2017-08-05T11:10:39Z,34,42,60,68
matrix_multiplication_aws,2017-08-05T11:10:40Z,34,37,65,70
matrix_multiplication_aws,2017-08-05T11:10:41Z,34,38,66,69
matrix_multiplication_aws,2017-08-05T11:10:42Z,38,47,70,74
matrix_multiplication_aws,2017-08-05T11:10:43Z,34,38,61,70
matrix_multiplication_aws,2017-08-05T11:10:44Z,34,34,39,43
matrix_multiplication_aws,2017-08-05T11:10:45Z,33,37,42,46
matrix_multiplication_aws,2017-08-05T11:10:46Z,33,38,43,68
matrix_multiplication_aws,2017-08-05T11:10:47Z,34,37,61,75
matrix_multiplication_aws,2017-08-05T11:10:48Z,33,36,46,54
matrix_multiplication_aws,2017-08-05T11:10:49Z,35,38,43,44
matrix_multiplication_aws,2017-08-05T11:10:50Z,34,38,41,46
matrix_multiplication_aws,2017-08-05T11:10:51Z,34,38,44,48
matrix_multiplication_aws,2017-08-05T11:10:52Z,34,37,39,42
matrix_multiplication_aws,2017-08-05T11:10:53Z,35,42,70,89
matrix_multiplication_aws,2017-08-05T11:10:54Z,36,58,74,89
matrix_multiplication_aws,2017-08-05T11:10:55Z,34,40,66,73
matrix_multiplication_aws,2017-08-05T11:10:56Z,34,37,38,39
matrix_multiplication_aws,2017-08-05T11:10:57Z,33,38,42,44
