18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
110,62,203,124,171,109,93,124,141,153,125,93,93,156,187,125,171,156,128,95,156,109,343,156
78,47,63,92,63,60,63,63,64,46,81,63,63,75,61,62,97,75,78,62,154,62,63,76
49,48,61,64,63,60,62,65,92,65,78,63,62,63,46,62,65,141,63,47,63,80,64,62
44,65,63,47,62,46,47,65,78,60,48,47,47,50,60,64,61,61,43,49,62,77,92,78
60,63,46,47,62,47,46,48,61,67,47,62,47,62,50,63,63,91,62,47,59,62,78,59
47,92,60,62,63,47,47,65,62,58,61,63,62,66,47,63,63,79,62,60,61,65,48,47
64,62,63,157,62,49,63,76,63,48,62,47,63,60,63,64,62,93,65,63,62,60,48,47
65,64,63,218,62,61,62,79,79,60,63,62,62,62,62,45,59,110,62,62,47,65,66,46
60,62,62,79,63,63,63,78,108,63,65,63,63,66,63,63,63,110,46,62,62,60,81,77
156,65,61,62,62,49,63,78,63,62,61,47,63,63,66,47,61,78,45,45,84,60,61,59
63,62,47,62,63,65,47,79,60,61,109,62,62,65,63,65,94,62,78,50,78,62,47,62
62,63,46,78,63,45,62,62,66,50,60,62,62,60,62,62,59,62,62,65,66,62,66,62
62,64,64,62,62,48,47,62,63,63,66,63,62,48,63,47,64,65,62,60,63,93,59,49
79,47,60,66,63,49,46,81,62,61,59,62,63,63,63,63,47,60,122,78,50,62,63,47
61,47,62,59,78,46,47,65,78,63,62,63,63,50,62,62,66,59,201,62,62,47,48,61
62,48,62,63,63,47,62,59,78,62,67,47,62,64,65,48,59,62,60,64,66,63,47,64
63,47,45,78,62,65,63,79,81,47,90,63,63,60,49,47,65,78,62,61,47,62,45,61
68,47,60,78,63,47,62,62,92,47,66,62,47,60,48,47,65,63,47,63,59,81,62,62
62,51,64,48,78,44,47,62,78,46,60,62,47,62,47,47,63,63,62,63,63,59,46,91
65,45,47,63,62,47,62,64,112,63,79,63,63,63,63,62,62,78,62,65,70,67,59,65
79,47,82,61,63,61,62,79,78,62,61,63,78,62,62,50,75,78,78,60,65,57,49,76
125,60,78,78,62,61,78,62,114,78,78,62,78,60,49,47,78,122,63,78,79,62,63,94
203,47,66,63,63,64,66,79,122,66,59,78,62,60,46,47,78,78,61,60,77,63,64,109
47,79,48,59,47,47,47,59,50,63,80,63,219,58,63,64,44,62,62,63,74,48,61,63
62,60,47,110,47,60,62,78,65,62,61,62,63,49,234,61,49,62,63,65,61,60,49,49
48,64,59,62,47,47,63,63,60,64,78,63,63,62,62,64,65,63,62,64,64,62,79,90
48,61,63,62,47,47,62,62,47,61,60,62,62,61,63,46,60,78,62,62,64,77,61,62
78,63,62,63,62,44,47,47,47,63,63,63,63,61,47,46,46,66,48,47,63,109,46,65
62,47,63,93,63,50,63,56,90,47,65,47,62,79,64,64,66,59,79,67,62,250,61,60
62,63,63,63,78,62,47,62,63,49,60,47,63,64,61,63,75,63,66,59,59,77,78,62
64,47,63,63,62,50,63,60,62,47,62,63,62,62,66,50,78,62,60,49,57,110,78,64
66,50,63,64,47,54,47,62,64,62,68,62,63,62,49,67,62,62,63,62,59,62,47,49
44,63,46,61,47,48,47,79,64,46,73,63,62,63,63,62,94,47,63,65,62,72,63,64
54,49,61,65,62,45,62,78,65,60,50,62,63,78,62,47,78,78,47,60,65,65,62,61
46,77,78,61,47,47,47,63,60,54,47,63,47,62,62,63,48,80,44,65,48,56,62,65
65,49,49,62,187,47,47,62,63,61,59,62,47,60,48,47,45,60,64,60,51,47,48,60
78,51,65,63,63,46,47,65,65,47,62,78,47,64,62,65,78,79,64,63,47,60,64,62
60,49,60,47,62,50,47,66,94,47,64,47,63,69,47,62,63,46,60,47,47,62,61,61
50,49,80,63,47,47,63,60,62,45,61,62,47,61,62,50,63,109,79,63,63,63,63,48
56,63,65,62,47,45,62,47,62,48,63,63,63,62,63,59,50,125,60,63,44,63,64,94
46,48,67,63,47,59,63,63,64,61,66,47,47,93,62,47,63,62,62,69,60,65,65,61
63,65,78,48,63,60,62,47,66,59,66,47,62,250,47,66,63,62,47,45,50,60,59,62
64,66,63,65,62,62,47,76,47,62,47,63,63,46,46,62,62,95,50,49,89,64,62,63
50,49,62,63,47,63,62,78,63,47,62,93,63,51,63,47,64,63,63,65,78,61,63,62
62,62,77,59,62,46,63,65,58,62,65,47,62,67,63,44,81,58,61,60,79,67,62,61
66,58,60,63,109,61,62,77,78,49,60,47,78,58,46,62,60,62,63,63,62,59,63,66
